,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Offer title (if available),Start date,End date,Detailed offer text (if available),Logo link,Offer image,Redeem link,Promo code (if available),Online/ Offline,"If offline, cities"
102,,Knowledge Hut,Knowledge Hut,Education & Upskilling ,,,15th September 2024,20% OFF on all OSL Courses,,,https://www.visa.co.in/en_in/visa-offers-and-perks/knowledge-hut/156476,,Online ,
103,,Woggles ,Woggles ,Accessories,,,15th September 2024,"Offer 1: Additional 20% OFF
Offer 2: Flat Rs. 300 OFF",,,https://www.visa.co.in/en_in/visa-offers-and-perks/woggles/156478,,Online ,
104,,Happinetz ,Happinetz ,Others ,,,15th September 2024,Exclusive Launch offer - Flat 35% off on Happinetz box & amp; 6-month free subscription worth Rs 1000.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/happinetz/156480,,Online ,
105,,Salty,Salty,Accessories,,,15th September 2024,"Offer 1: Rs.300 OFF on Minimum Order Value of Rs. 999
Offer 2: Rs.500 OFF on Minimum Order Value of Rs. 1500",,,"1. https://www.visa.co.in/en_in/visa-offers-and-perks/salty-accessories/156484
2. https://www.visa.co.in/en_in/visa-offers-and-perks/salty-accessories/156482",,Online ,
106,,Plum (Offer 1),Plum (Offer 1),Health & Wellness,,,15th September 2024,Rs. 240 OFF on MInimum Order Value of Rs. 1199,,,https://www.visa.co.in/en_in/visa-offers-and-perks/plum-goodness/156486,,Online ,
107,,Plum (Offer 2),Plum (Offer 2),Health & Wellness,,,15th September 2024,Rs. 200 OFF on MInimum Order Value of Rs. 999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/plum-goodness/156488,,Online ,
108,,Snitch (Offer 2),Snitch (Offer 2),Apparel ,,,15th September 2024,Flat 15% OFF on MOV of Rs. 1499,,,https://www.visa.co.in/en_in/visa-offers-and-perks/snitch/156490,,Online ,
109,,Meolaa,Meolaa,Others ,,,15th September 2024,Flat 15% OFF on Minimum Order Value of Rs. 999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/meolaa/156492,,Online ,
110,,Arrow ,Arrow ,Apparel ,,,15th September 2024,Buy for 2499/- and get extra 10% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/arrow/156494,,Online,
111,,Flying Machine,Flying Machine,Apparel ,,,15th September 2024,Buy 2 and get extra 10% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/flying-machine/156540,,Online,
