,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Offer title (if available),Start date,End date,Detailed offer text (if available),Logo link,Offer image,Redeem link,Promo code (if available),Online/ Offline,"If offline, cities"
51,,Clovia,Clovia,Apparel ,,,15th September 2024,Rs.150 off on a minimum purchase of Rs.899.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/clovia/151605,,Online,
52,,Kapiva,Kapiva,Health & Wellness,,,15th September 2024,Get Flat 20% off on No MOV,,,https://www.visa.co.in/en_in/visa-offers-and-perks/kapiva/151606,,Online,
53,,Rummy Circle ,Rummy Circle ,Entertainment,,,15th September 2024,Get 200% Welcome Bonus upto 3000*: Deposit Min Rs. 50 in your RC Wallet & Get 200% welcome Bonus upto 3000*,,,https://www.visa.co.in/en_in/visa-offers-and-perks/rummycircle/151614,,Online,
54,,Care Insurance,Care Insurance,Health & Wellness,,,15th September 2024,"E-consulation @ Rs. 499, Discount connect plans starting @ Rs. 249, Hospi Cash @ Rs. 250",,,https://www.visa.co.in/en_in/visa-offers-and-perks/care-health-insurance/151607,,Online,
55,,Netmeds,Netmeds,Health & Wellness,,,15th September 2024,"Offer 1: 25% off on Prescription meds + 100% NMS Supercash
Offer 2: 22% Discount on prescription meds + 75% NMS Super Cash",,,https://www.visa.co.in/en_in/visa-offers-and-perks/netmeds/153428,,Online,
56,,Fitterfly,Fitterfly,Health & Wellness,,,15th September 2024,Claim 30 min Free Nutritionist Consultation + Flat 1000OFF on Diabefly Pro or Flat 750 OFF on Diabefly SMBG & Reset23,,,https://www.visa.co.in/en_in/visa-offers-and-perks/fitterfly/151612,,Online,
57,,Sonata ,Sonata ,Lifestyle ,,,15th September 2024,Get 10% Off on minimum cart value of Rs 995,,,https://www.visa.co.in/en_in/visa-offers-and-perks/sonata/151617,,Online,
58,,USPA,USPA,Apparel ,,,15th September 2024,Get Additional 15% OFF on shopping for 2499/- and above,,,https://www.visa.co.in/en_in/visa-offers-and-perks/uspa/151620,,Online,
59,,Nnnow,Nnnow,Apparel ,,,15th September 2024,Get Additional 15% OFF on shopping for 2499/- and above,,,https://www.visa.co.in/en_in/visa-offers-and-perks/nnnow/151613,,Online,
60,,Redcliffe Labs,Redcliffe Labs,Health & Wellness,,,15th September 2024,FLAT 25% OFF on all health checkup packages across Redcliffe web and App,,,https://www.visa.co.in/en_in/visa-offers-and-perks/redcliffee-labs/151621,,Online,
61,,Simple Skincare,Simple Skincare,Health & Wellness,,,15th September 2024,25% off over and above website offers,,,https://www.visa.co.in/en_in/visa-offers-and-perks/simple-skincare/151624,,Online,
62,,"Love, Beauty & Planet ","Love, Beauty & Planet ",Health & Wellness,,,15th September 2024,15% off over and above website offers,,,https://www.visa.co.in/en_in/visa-offers-and-perks/love-beauty-planet/151673,,Online,
63,,Weber® – American barbecue grills and accessories,Weber® – American barbecue grills and accessories,Home,,,15th September 2024,"Get FLAT 20% OFF on MRP across the whole range of grills, accessories and consumables",,,https://www.visa.co.in/en_in/visa-offers-and-perks/weber/151676,,Online + Offline,
64,,Musafir- Domestic Flight Bookings ,Musafir- Domestic Flight Bookings ,Travel,,,15th September 2024,Up to Rs 1500 off on domestic flights at Musafir,,,https://www.visa.co.in/en_in/visa-offers-and-perks/musafircom/156322,,Online,
65,,Musafir-International Flight Bookings,Musafir-International Flight Bookings,Travel,,,15th September 2024,Up to Rs 5000 off on international flights at Musafir,,,https://www.visa.co.in/en_in/visa-offers-and-perks/musafircom/156324,,Online,
66,,Musafir-Dubai Visa,Musafir-Dubai Visa,Travel,,,15th September 2024,Flat 5% off on Dubai Visa at Musafir,,,https://www.visa.co.in/en_in/visa-offers-and-perks/musafircom/156328,,Online,
67,,Ease my Trip ,Ease my Trip ,Travel,,,31st March 2024,Get discount upto Rs. 800 on domestic flights on a minimum booking of Rs. 3500,,,https://www.visa.co.in/en_in/visa-offers-and-perks/ease-my-trip/156560,,Online,
68,,Ease my Trip ,Ease my Trip ,Travel,,,31st March 2024,"Rs.1,000 off on min booking amount of Rs.15,000 for International flight.",,,https://www.visa.co.in/en_in/visa-offers-and-perks/ease-my-trip/156562,,Online,
69,,Ease my Trip ,Ease my Trip ,Travel,,,31st March 2024,"Rs.120 off on min booking amount of Rs.1,200 for Bus booking.",,,https://www.visa.co.in/en_in/visa-offers-and-perks/ease-my-trip/156564,,Online ,
70,,Ease my Trip ,Ease my Trip ,Travel,,,31st March 2024,"Rs.500 off on min booking amount of Rs.3,500 for hotel booking",,,https://www.visa.co.in/en_in/visa-offers-and-perks/ease-my-trip/148889,,Online,
71,,Acko Insurance,Acko Insurance,Others ,,,15th September 2024,Car Offer: Ride away with 85%* savings on Car Insurance; Bike Offer: Acko Bike Insurance starts at Rs. 555*,,,https://www.visa.co.in/en_in/visa-offers-and-perks/acko-insurance/156310,,Online,
72,,SaffronStays ,SaffronStays ,Travel,,,15th September 2024,"Offer 1: Book a minimum of 2 nights at SaffronStays and avail a 10% discount upto Rs 7,500*
Offer 2: Book a minimum of 3 nights at SaffronStays and avail a 15% discount upto Rs 15,000*
Offer 3: Book a minimum of 4 nights at SaffronStays and avail a 15% discount upto Rs 20,000*",,,https://www.visa.co.in/en_in/visa-offers-and-perks/saffronstays/157536,,Online,
